sample,ratio,condition,amino_acid,batch,ratio_sample_is,ratio_adj,concentration_sample_uM,cell_line,dox_conc,timepoint,replicate
M0,6.68E-01,3.71,Asn,1,0.05,1.34E+01,49.59528,,,,
M0,7.04E-01,3.71,Asn,1,0.05,1.41E+01,52.24422,,,,
1,7.50E-01,3.71,Asn,1,0.05,1.50E+01,55.62032,TM,0,16,1
2,6.40E-01,3.71,Asn,1,0.05,1.28E+01,47.488,TM,100,16,1
3,5.89E-01,3.71,Asn,1,0.05,1.18E+01,43.68896,TM,1000,16,1
4,6.50E-01,3.71,Asn,1,0.05,1.30E+01,48.23742,TM,0,18,1
5,5.26E-01,3.71,Asn,1,0.05,1.05E+01,39.02178,TM,100,18,1
6,5.04E-01,3.71,Asn,1,0.05,1.01E+01,37.38196,TM,1000,18,1
7,5.68E-01,3.71,Asn,1,0.05,1.14E+01,42.13818,TM,0,20,1
8,5.54E-01,3.71,Asn,1,0.05,1.11E+01,41.12164,TM,100,20,1
9,4.52E-01,3.71,Asn,1,0.05,9.04E+00,33.52356,TM,1000,20,1
10,5.39E-01,3.71,Asn,1,0.05,1.08E+01,39.9567,TM,0,22,1
11,5.79E-01,3.71,Asn,1,0.05,1.16E+01,42.97664,TM,100,22,1
12,4.87E-01,3.71,Asn,1,0.05,9.74E+00,36.12056,TM,1000,22,1
13,5.21E-01,3.71,Asn,1,0.05,1.04E+01,38.68788,TM,0,24,1
14,4.87E-01,3.71,Asn,1,0.05,9.73E+00,36.11314,TM,100,24,1
15,5.08E-01,3.71,Asn,1,0.05,1.02E+01,37.71586,TM,1000,24,1
16,4.77E-01,3.71,Asn,1,0.05,9.53E+00,35.3563,T,0,16,1
17,5.26E-01,3.71,Asn,1,0.05,1.05E+01,39.05146,T,100,16,1
18,5.02E-01,3.71,Asn,1,0.05,1.00E+01,37.2484,T,1000,16,1
19,4.90E-01,3.71,Asn,1,0.05,9.80E+00,36.36542,T,0,18,1
20,4.18E-01,3.71,Asn,1,0.05,8.36E+00,31.0156,T,100,18,1
21,6.07E-01,3.71,Asn,1,0.05,1.21E+01,45.05424,T,1000,18,1
22,5.22E-01,3.71,Asn,1,0.05,1.04E+01,38.72498,T,0,20,1
23,5.17E-01,3.71,Asn,1,0.05,1.03E+01,38.33172,T,100,20,1
24,6.07E-01,3.71,Asn,1,0.05,1.21E+01,45.01714,T,1000,20,1
25,4.56E-01,3.71,Asn,1,0.05,9.12E+00,33.82036,T,0,22,1
26,4.79E-01,3.71,Asn,1,0.05,9.57E+00,35.51954,T,100,22,1
27,4.00E-01,3.71,Asn,1,0.05,8.00E+00,29.68,T,1000,22,1
28,4.48E-01,3.71,Asn,1,0.05,8.96E+00,33.22676,T,0,24,1
29,5.25E-01,3.71,Asn,1,0.05,1.05E+01,38.96984,T,100,24,1
30,4.84E-01,3.71,Asn,1,0.05,9.69E+00,35.94248,T,1000,24,1
M0,2.67E+00,4.4,Ser,1,0.05,5.34E+01,235.136,,,,
M0,2.76E+00,4.4,Ser,1,0.05,5.52E+01,243.056,,,,
1,1.99E+00,4.4,Ser,1,0.05,3.98E+01,175.12,TM,0,16,1
2,2.31E+00,4.4,Ser,1,0.05,4.62E+01,203.456,TM,100,16,1
3,2.20E+00,4.4,Ser,1,0.05,4.40E+01,193.6,TM,1000,16,1
4,2.17E+00,4.4,Ser,1,0.05,4.35E+01,191.224,TM,0,18,1
5,2.09E+00,4.4,Ser,1,0.05,4.17E+01,183.48,TM,100,18,1
6,2.26E+00,4.4,Ser,1,0.05,4.52E+01,198.88,TM,1000,18,1
7,2.30E+00,4.4,Ser,1,0.05,4.59E+01,201.96,TM,0,20,1
8,2.06E+00,4.4,Ser,1,0.05,4.11E+01,181.016,TM,100,20,1
9,2.04E+00,4.4,Ser,1,0.05,4.07E+01,179.08,TM,1000,20,1
10,1.97E+00,4.4,Ser,1,0.05,3.94E+01,173.36,TM,0,22,1
11,2.11E+00,4.4,Ser,1,0.05,4.23E+01,186.032,TM,100,22,1
12,1.97E+00,4.4,Ser,1,0.05,3.95E+01,173.712,TM,1000,22,1
13,2.12E+00,4.4,Ser,1,0.05,4.24E+01,186.384,TM,0,24,1
14,1.95E+00,4.4,Ser,1,0.05,3.90E+01,171.424,TM,100,24,1
15,1.99E+00,4.4,Ser,1,0.05,3.97E+01,174.68,TM,1000,24,1
16,1.77E+00,4.4,Ser,1,0.05,3.53E+01,155.496,T,0,16,1
17,2.03E+00,4.4,Ser,1,0.05,4.07E+01,178.992,T,100,16,1
18,2.28E+00,4.4,Ser,1,0.05,4.55E+01,200.2,T,1000,16,1
19,1.85E+00,4.4,Ser,1,0.05,3.70E+01,162.8,T,0,18,1
20,2.05E+00,4.4,Ser,1,0.05,4.10E+01,180.488,T,100,18,1
21,1.95E+00,4.4,Ser,1,0.05,3.91E+01,171.952,T,1000,18,1
22,1.81E+00,4.4,Ser,1,0.05,3.61E+01,158.928,T,0,20,1
23,1.68E+00,4.4,Ser,1,0.05,3.36E+01,147.928,T,100,20,1
24,1.89E+00,4.4,Ser,1,0.05,3.77E+01,165.968,T,1000,20,1
25,1.58E+00,4.4,Ser,1,0.05,3.15E+01,138.688,T,0,22,1
26,1.51E+00,4.4,Ser,1,0.05,3.02E+01,132.792,T,100,22,1
27,1.62E+00,4.4,Ser,1,0.05,3.23E+01,142.12,T,1000,22,1
28,1.46E+00,4.4,Ser,1,0.05,2.91E+01,128.216,T,0,24,1
