"batch","amino_acid","sample","ratio","condition","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration","final_concentration_uM","concentration_sample_mM","keep_manual_inspection","mean_concentration_mM","substraction","interval","mean_auc","CORE_value"
1,"Gln","1",23.4,4.09,0.05,468,1915.756,"TM",0,16,1,2070.767,0.925143195733755,2.5,2500,NA,NA,2312.85798933439,2312.85798933439,1.915756,"y",2.070767,-0.0002325165,22,6085415.94208765,-3.82088097531479e-11
1,"Gln","2",22.9,4.09,0.05,458,1872.402,"TM",100,16,1,2070.767,0.904206991902034,2.5,2500,NA,NA,2260.51747975509,2260.51747975509,1.872402,"y",2.070767,-0.0002975475,22,6085415.94208765,-4.88951787078541e-11
1,"Gln","3",24.7,4.09,0.05,495,2023.732,"TM",1000,16,1,2070.767,0.977286193956153,2.5,2500,NA,NA,2443.21548489038,2443.21548489038,2.023732,"y",2.070767,-7.05525000000002e-05,22,6085415.94208765,-1.15937021678417e-11
1,"Gln","4",21.1,4.09,0.05,423,1729.252,"TM",0,18,1,2070.767,0.835078016985977,2.5,2500,NA,NA,2087.69504246494,2087.69504246494,1.729252,"y",2.070767,-0.0005122725,24,7005915.22298741,-7.31199969875685e-11
1,"Gln","5",22.1,4.09,0.05,442,1807.78,"TM",100,18,1,2070.767,0.873000197511357,2.5,2500,NA,NA,2182.50049377839,2182.50049377839,1.80778,"y",2.070767,-0.0003944805,24,7005915.22298741,-5.63067761233612e-11
1,"Gln","6",22.1,4.09,0.05,441,1804.508,"TM",1000,18,1,2070.767,0.871420106656133,2.5,2500,NA,NA,2178.55026664033,2178.55026664033,1.804508,"y",2.070767,-0.0003993885,24,7005915.22298741,-5.70073269927031e-11
1,"Gln","7",23.1,4.09,0.05,462,1890.398,"TM",0,20,1,2070.767,0.912897491605767,2.5,2500,NA,NA,2282.24372901442,2282.24372901442,1.890398,"y",2.070767,-0.0002705535,26,8015331.07929134,-3.37545008838139e-11
1,"Gln","8",23.9,4.09,0.05,479,1957.474,"TM",100,20,1,2070.767,0.945289354137863,2.5,2500,NA,NA,2363.22338534466,2363.22338534466,1.957474,"y",2.070767,-0.0001699395,26,8015331.07929134,-2.12018066775883e-11
1,"Gln","9",21.7,4.09,0.05,434,1775.06,"TM",1000,20,1,2070.767,0.857199288959115,2.5,2500,NA,NA,2142.99822239779,2142.99822239779,1.77506,"y",2.070767,-0.0004435605,26,8015331.07929134,-5.53390116530554e-11
1,"Gln","10",21,4.09,0.05,419,1714.528,"TM",0,22,1,2070.767,0.827967608137468,2.5,2500,NA,NA,2069.91902034367,2069.91902034367,1.714528,"y",2.070767,-0.0005343585,28,9122357.54912758,-5.85767984999781e-11
